CIP1,CIP2,CIP3,LIBELLE,CESSION,PUBLIC,CODTVA
8656289,9100001300531,3000000600054.0,FLIPTOR 5MG CP B/30,2584,3465,0
1847401,9100001847401,,FLONIX 500MG CP B/14,5818,7800,0
1847391,9100001847391,,FLONIX 500MG CP B/7,3864,5180,0
2258949,9100000685771,8012155.0,FLOTAC HGC 75MG CAPS/2X10  R71,4285,5745,0
1679051,3000000896808,,FLOTRAL LP 10MG CP B/30,5240,7025,0
8112230,3000000062692,3000000062692.0,FLOTRAL 10MG CP B/10,4287,5745,0
1142751,9100001142751,8452121.0,FLOXCIN OZ 200/500 CP B/2X10,3136,4205,0
998531,9100000998531,3000000249802.0,FLOXCIN 200MG CP B/10,828,1110,0
1472961,3990000009226,3990000009226.0,FLOXIRA 500MG CP B/10,3448,4620,0
1306101,3990000002753,,FLOXO OZ 200/500MG CP B/10,2175,2915,0
1756661,9100001756661,3000001214908.0,FLUCAT 200MG GELU B/10,1434,1925,0
2291823,9100000466961,2291823.0,FLUCAZOL 100MG GEL B/10,1796,2405,0
2297381,3990000010710,,FLUCESS 150MG GELULE B/1,868,1160,0
8585419,9100001174421,3000000425732.0,FLUCOAS 150 CP B/1,2162,2900,0
1552801,9100001552801,,FLUCOMIK 200MG CAPS B/10,1776,2380,0
9001142,9100000914331,,FLUCOMYC 150MG CP B/1,713,955,0
8113554,9100000870441,3000000097397.0,FLUCONA DENK 100 GELU B/10,1476,1980,0
8113560,9100000871691,3000000096307.0,FLUCONA DENK 150 GELU B/1,960,1285,0
1354362,9100001354362,3000000096307.0,FLUCONEB 150MG GELU B/1,989,1325,0
9001627,9100001159131,,FLUCTOR PDRE S.ORAL SACH B/10,1641,2200,0
3382746,3400933827465,3382746.0,"FLUDEX LP 1,5MG CP B/30",4145,5555,0
8165775,3000000268346,3000000268346.0,FLUDOL 300MG CAPS B/100,3707,4970,0
8112253,3000000080153,3000000080153.0,FLUGEN 100MG CP B/10,1245,1665,0
8513118,9100001087221,3000000067574.0,FLUKOCIN 500MG GELU B/20,2609,3495,0
8107192,3000000218860,,FLUOMAC 150MG GEL B/1,835,1120,0
1448781,9100001448781,3000000687963.0,FLUOXETINE VIR 20MG GEL B/28,2169,2905,0
1890501,9100001890501,,FLUOXINE T 600/500MG CP B/10,1742,2135,0
2291852,9100000452781,2291852.0,FLUOXINE 500MG CP B/10,1627,2180,0
