CIP1,CIP2,CIP3,LIBELLE,TVCODE,CESSION,PUBLIC
3000000113646,8003883,8127473,CARDOX 1MG CPR B/30,0,4295,5745
3000000113684,8003908,8127579,CARDOX 4MG CPR B/30,0,9145,12235
2261911,8265005,2261911,CARNET DE SANTE ENF,2,3462,0
3700225600777,8347878,,VITAMIN 22 SPECIFIC HOMME GEL B/60,2,0,0
3000000250655,8414445,1015991,CARNET DE SANTE VITALE,2,3507,0
3000000812594,8477262,,PENISTAPH 250MG/5ML PDR SUSP BUV60ML CAM,0,1925,2575
3518646126840,8564802,,CARRES DE SOIN BB GILBERT SACH/100,0,1984,0
3990000010512,8475412,1539451,MYGRIPPE 500MG/5MG/25MG/30MG CPR B/100,0,4072,5445
3990000009196,8475346,1472951,ESOZOL 40MG CPR B/10,0,1126,1505
3990000010499,8475398,1565321,ESOZOL 40MG IV PDRE SOL INJ/1+SOLV/10ML,0,2610,3490
3400935788924,3578892,,CARTEOL 1% LP COLL F/3ML,0,4585,6130
3400935789525,3578952,,CARTEOL 2% LP COLL F/3ML,0,4585,6130
3700225600869,0,,VITAMIN 22 SENIOR CPR B/30,2,0,0
3600901,0,,"CARTEOL LP 2% COLL UNID/0,2ML B/30",0,5243,7015
3000000259719,8051161,,CARTISAFE FORTE CPR ENR B/30,2,3756,0
3000000163481,8008426,8122470,CARTEF 20/120MG CPR B/24,0,1713,2295
3000000163528,8008449,8122487,CARTEF DS 80/480MG CPR B/6,0,1713,2295
3000000388457,8500038,2268379,CARTISAFE FORTE MSM CPR B/30,2,4789,0
3000000609712,8444564,1400111,CARTILAMINE PLUS 500MG/400MG CPR B/30,0,3506,4690
3000000135747,8004210,,CARVEDI DENK 25MG CPR B/30,0,4732,6330
3000000268384,8055495,,"CARVEDI DENK 6,25MG CPR B/30",0,3018,4035
3391633,0,3391633,CASODEX 50MG CPR B/30,0,36596,48965
3130594,0,,CATACOL COLLYRE FL 10ML,0,857,1145
3990000010505,8475429,1565331,NERF FORTE P 75MG/750MCG GEL B/30,0,4308,5760
2022589,0,4004199,CATAFLAM 50MG CPR BT 20,0,2452,3280
3400930225004,3022500,,LAMICTAL 25MG +SECUR ENF CPR DISP B/30,0,3939,5270
3990000009226,8475352,1472961,FLOXIRA 500MG CPR B/10,0,3444,4605
3990000009219,8475317,1472931,DUO ARTISIN 40MG/320MG CPR B/9,0,1643,2195
3019276,0,,"CATALGINE 0,1G PDR SACH 20ROSE",0,1049,1400
2023927,8003452,4004207,CATAFLAM * 25MG * CPR BT 20,0,1237,1655
2026765,0,,"CATAFLAM 1,5% GOUTTES FL 15ML",0,1757,2350
8012161,0,,"CATAFLAM SUSP 1,8MG/ML F/120ML R73",0,2397,3205
8276517,0,,CATHETER UBI ONE IV 16G 45MM GRIS/1,0,384,0
8276523,0,,CATHETER UBI ONE IV 18G 45MM VERT/1,0,409,0
8276546,0,,CATHETER UBI ONE IV 20G 32MM ROSE/1,0,409,0
8276552,8576610,,CATHETER UBI ONE IV 22G 25MM BLEU/1,0,401,0
8276569,8576627,,CATHETER UBI ONE IV 24G 19MM JAUNE/1,0,401,0
3000000411698,8511935,,CATHETER SAFETY UBI ONE IV 24G JAUNE/1,0,499,0
3000000411704,8511941,,CATHETER SAFETY UBI ONE IV 22G BLEU/1,0,499,0
3000000411711,8511958,,CATHETER SAFETY UBI ONE IV 20G ROSE/1,0,511,0
3000000088043,8098978,,CAZITHRO SUSP BUV 200MG/5ML F/15ML,0,1965,2625
3000000088081,8098990,8405736,CAZITHRO 500MG CPR PELL B/3,0,2916,3900
3532281468301,0,,PRESERV SKYN 5 SENSES+ B/5,0,0,0
3990000009202,8475323,,DUO ARTISIN90/720MG/5ML PDR SUSP BUV60ML,0,1672,2235
3532281459507,0,,PRESERV SKYN SELECTION+ B/10,0,0,0
3143591,0,,CEBEDEXACOL COLLYRE FL 5ML,0,1347,1800
3990000009189,8475369,1472971,MYFIX 200MG CPR B/10,0,2578,3452
2021762,0,,CEBROTONIN CPR BTE 30,0,2811,3760
3400930186350,3018635,,LAMICTAL 5MG CPR DISP/CROQ F/30,0,0,0
2035511,8447048,2035511,CEDROX 250MG PDR SIROP F/60ML,0,1989,2660
3000001211105,8783303,,REVOBAN 10MG CPR B/10,0,0,0
3000000566442,8440419,1333051,CEEVI 200MG CPR PELL B/10,0,2417,3230
3990000009240,8475464,,MYFIX 100MG/5ML PDRE PR SUSP BUV FL/60ML,0,1596,2135
8002435,0,2273469,CEFALORAL 200MG CPR B/10,0,3147,4210
8002530,0,,CEFALORAL 100MG CPR DISP B/10,0,2746,3670
3000001210849,8782284,,VASELINE ROYAL PURE POT/60ML,2,1200,0
8011983,0,8011983,CEFEXOL 400MG GEL B/5,0,3153,4215
3000000224014,8022679,,CEFEZONE 1G PDRE SUSP INJ B/1,0,1775,2375
8306023,8446735,8306023,CEFIM 200MG GEL B/12,0,3861,5165
8306017,8446741,8306017,CEFIM 400MG GEL B/6,0,3857,5160
3990000009233,8475375,1472981,ONE V KIT 1G/150MG/1G CPR B/4,0,3690,4935
3000000316535,8062153,8398396,CEFIM 100MG SUSP F/60ML,0,4345,5810
3000000220702,8021243,,CEFIXIME SP 200MG CPR PELL SEC B/10,0,3388,4530
3000000236628,8025904,8152459,CEFIDIS 200MG CPR B/10,0,2369,3170
3990000000858,8069379,,CEFIXIME SP 100MG/5ML PDRE SUSP BUV/60ML,0,3400,4545
3990000000841,8069416,,CEFIXIME SP 50MG/5ML PDRE SUSP BUV /30ML,0,1969,2630
3000000215234,8019565,,CEFLAMOX 750MG SOL INJ B/1,0,2500,3355
3000000215272,8019588,,"CEFLAMOX 1,5G SOL INJ B/1",0,5290,7095
3990000010543,8475435,,PALSUNATE 120MG PDRE SUSP INJ AMP/10ML/1,0,1797,2400
3000000898895,8488998,1632691,MONAMOX 500MG CPR B/100,0,3480,5220
3000000898949,8489006,,MONAMOX-CL 1G/200MG PDRE SOL INJ B/1,0,1320,1980
2265814,8038901,,CEFOTAXIME 1G IM/IV INJ B/1,0,898,1200
3990000001879,8417662,,CEFPOWEL 200MG CPR PELL B/10,0,3610,5400
3990000002517,8429429,,CEFPOWEL DS 50MG/5ML PDRE SUSP BUV/30ML,0,3061,4095
8038918,0,,CEFTRIAXONE 1G INJ IM/IV B/1,0,960,1440
3000001210856,8782290,1840821,VASELINE ROYAL PURE POT/100ML,2,1440,0
8060906,0,,CEFTRIAXONE ISDA 1G INJ B/1,0,840,1260
3000000854051,8482961,,"CARBOSOL 0,5% COLLYRE F/10ML B/1",0,1327,1775
3000000220788,8021326,,CEFTRIAXONE SP 500MG IM/IV PDR+SOLV F5ML,0,2196,2935
3000000220825,8021332,,CEFTRIAXONE SP 1G IM/IV PDRE+SOLV F/10ML,0,3143,4205
3000000220863,8021355,,CEFTAZIDIME SP 1G IM/IV PDRE+SOLV F/10ML,0,6815,9115
3000000220900,8021361,,CEFUROXIME SP 250MG CPR PELL B/10,0,3613,4830
3000000220948,8021533,8142254,CEFUROXIME SP 500MG CPR PELL B/10,0,5326,7125
3000000220986,8021556,,CEFUROXIME SP 750MG IM/IV PDR+SOLV F10ML,0,2313,3095
3000000221020,8021579,,"CEFUROXIME SP 1,5G IM/IV PDR+SOLV F15ML",0,4328,5790
3000001210863,8782309,,VASELINE ROYAL BEURRE CACAO POT/60ML,2,1200,0
3000001210870,8782315,,VASELINE ROYAL BEURRE CACAO POT/100ML,2,1440,0
3401097068947,9706894,,CEINT LOMB PROGRESS H/F 21CM NOIR TA,0,38019,0
3401097068886,9706888,,CEINT LOMB PROGRESS H/F 26CM NOIR TA,0,35361,0
3401099223108,8307809,,CEINT ABDO COOPER H25CM TA,0,23568,0
3000001210887,8782321,1840841,BAUME ROYAL EXTRA FORT POT/19G,2,840,0
3401060188580,6018858,,CEINT LOMB PROGRES H/F H26CM AJUST NR AF,0,32188,0
3614819997221,8627945,,CEINT LOMB SALVA FORTE+ NR 21CM TA B/1,0,33331,0
3614819997245,8655427,,CEINTURE LOMB FORTE PLUS H26 TA,0,51352,0
3400930194607,3019460,,CELESTENE 4MG/ML SOL INJ AMP/1ML B/3,0,2345,3135
3205777,0,,CELESTENE CHRONOD AMP+SERG B/1,0,1854,2480
3000000672440,8467677,,AVERTISO 200MCG CPR B/4,0,841,1125
3000000859186,8483682,,MIFESO 200MG/200MCG CPR B/50,0,0,0
3019454,4977559,,CELESTAMINE 0.25MG CPR B/30,0,1323,1770
3000000620939,8448941,1396601,METMIN SR 500MG CPR B/30,0,871,1165
3400930195086,3019508,,"CELESTENE 0,05% SOL BUV GTTE F/30ML",0,2109,2820
3412447,0,3412447,CELESTENE 2MG CPR DISP SEC B/20,0,2113,2825
2031424,0,2031424,CELEBREX 100MG GEL B/20,0,5686,7605
2031430,0,2031430,CELEBREX 200MG GEL B/10,0,5680,7595
2268563,8038315,2268563,CELEBID 100MG GEL B/20,0,3286,4395
3000000161524,8008231,8130854,CELEBID 200MG GEL B/30,0,5499,7355
3990000001299,8081920,1139721,CELECOXIB SP 200MG GEL B/20,0,5236,7005
3000000620953,8448964,1396621,METMIN SR 1G CPR B/30,0,1878,2510
3000000853108,8482688,,APMALT EFT 100MG CPR EFFV B/12,0,2626,3510
8279993,8313170,,CELIA DEVELOP CEREAL INST DIASTASE/200G,0,1252,0
8300776,8313112,,CELIA DEVELOP 1ER AGE LAIT B/400G,0,3411,0
8300782,8313129,,CELIA DEVELOP 2EME AGE LAIT B/400G,0,3411,0
8300799,8313135,,CELIA DEVELOP 3 CROISSANCE LAIT B/400G,0,3411,0
2291556,8300813,,CELIA DEVELOP ANTI DIARRHEIQUE LAIT/350G,0,3021,0
8292261,8313158,,CELIA DEVELOP SOL REHYDR ORAL B/10,0,2446,0
3000001210894,8782338,1840851,BAUME ROYAL EXTRA FORT POT/60G,2,1320,0
